match_id,season_id,division,group_id,player_a_id,player_b_id,score_a,score_b,winner_id,score_model
2012-s3-A-GD-0-5,2012-s3,A,2012-s3-A-GD,P0969,P1063,4,6,P1063,set-scores
2012-s3-A-GD-0-6,2012-s3,A,2012-s3-A-GD,P0969,P1437,9,1,P0969,set-scores
2012-s3-A-GD-1-2,2012-s3,A,2012-s3-A-GD,P1830,P1104,4,6,P1104,set-scores
2012-s3-A-GD-1-3,2012-s3,A,2012-s3-A-GD,P1830,P0464,9,1,P1830,set-scores
2012-s3-A-GD-1-4,2012-s3,A,2012-s3-A-GD,P1830,P1396,5,5,,set-scores
2012-s3-A-GD-1-5,2012-s3,A,2012-s3-A-GD,P1830,P1063,5,5,,set-scores
2012-s3-A-GD-1-6,2012-s3,A,2012-s3-A-GD,P1830,P1437,6,4,P1830,set-scores
2012-s3-A-GD-2-5,2012-s3,A,2012-s3-A-GD,P1104,P1063,6,4,P1104,set-scores
2012-s3-A-GD-2-6,2012-s3,A,2012-s3-A-GD,P1104,P1437,8,2,P1104,set-scores
2012-s3-A-GD-3-4,2012-s3,A,2012-s3-A-GD,P0464,P1396,9,1,P0464,set-scores
2012-s3-A-GD-3-5,2012-s3,A,2012-s3-A-GD,P0464,P1063,3,7,P1063,set-scores
2012-s3-A-GD-3-6,2012-s3,A,2012-s3-A-GD,P0464,P1437,6,4,P0464,set-scores
2012-s3-A-GD-4-5,2012-s3,A,2012-s3-A-GD,P1396,P1063,4,6,P1063,set-scores
2012-s3-A-GD-5-6,2012-s3,A,2012-s3-A-GD,P1063,P1437,6,4,P1063,set-scores
2012-s3-A-GE-0-1,2012-s3,A,2012-s3-A-GE,P1793,P1567,3,7,P1567,set-scores
2012-s3-A-GE-0-2,2012-s3,A,2012-s3-A-GE,P1793,P1425,7,3,P1793,set-scores
2012-s3-A-GE-0-3,2012-s3,A,2012-s3-A-GE,P1793,P1398,6,4,P1793,set-scores
2012-s3-A-GE-0-4,2012-s3,A,2012-s3-A-GE,P1793,P1839,4,6,P1839,set-scores
2012-s3-A-GE-0-5,2012-s3,A,2012-s3-A-GE,P1793,P1818,6,4,P1793,set-scores
2012-s3-A-GE-0-6,2012-s3,A,2012-s3-A-GE,P1793,P1739,8,2,P1793,set-scores
2012-s3-A-GE-1-3,2012-s3,A,2012-s3-A-GE,P1567,P1398,6,4,P1567,set-scores
2012-s3-A-GE-1-4,2012-s3,A,2012-s3-A-GE,P1567,P1839,4,6,P1839,set-scores
2012-s3-A-GE-1-5,2012-s3,A,2012-s3-A-GE,P1567,P1818,6,4,P1567,set-scores
2012-s3-A-GE-1-6,2012-s3,A,2012-s3-A-GE,P1567,P1739,6,4,P1567,set-scores
2012-s3-A-GE-2-3,2012-s3,A,2012-s3-A-GE,P1425,P1398,6,4,P1425,set-scores
2012-s3-A-GE-2-5,2012-s3,A,2012-s3-A-GE,P1425,P1818,2,8,P1818,set-scores
2012-s3-A-GE-2-6,2012-s3,A,2012-s3-A-GE,P1425,P1739,6,4,P1425,set-scores
2012-s3-A-GE-3-4,2012-s3,A,2012-s3-A-GE,P1398,P1839,7,3,P1398,set-scores
2012-s3-A-GE-3-5,2012-s3,A,2012-s3-A-GE,P1398,P1818,7,3,P1398,set-scores
2012-s3-A-GE-4-5,2012-s3,A,2012-s3-A-GE,P1839,P1818,7,3,P1839,set-scores
2012-s3-A-GE-4-6,2012-s3,A,2012-s3-A-GE,P1839,P1739,7,3,P1839,set-scores
2012-s3-A-GE-5-6,2012-s3,A,2012-s3-A-GE,P1818,P1739,9,1,P1818,set-scores
2012-s3-A-GF-0-1,2012-s3,A,2012-s3-A-GF,P1587,P0223,4,6,P0223,set-scores
2012-s3-A-GF-0-2,2012-s3,A,2012-s3-A-GF,P1587,P1791,6,4,P1587,set-scores
2012-s3-A-GF-0-3,2012-s3,A,2012-s3-A-GF,P1587,P1822,8,2,P1587,set-scores
2012-s3-A-GF-0-4,2012-s3,A,2012-s3-A-GF,P1587,P1783,7,3,P1587,set-scores
