player_lo_id,player_hi_id,matches,lo_wins,hi_wins,draws,lo_games,hi_games,group_matches,playoff_matches,last_season
P0072,P0124,1,0,1,0,1,9,1,0,2005-s4
P0072,P0120,1,1,0,0,8,2,1,0,2005-s4
P0120,P0124,1,1,0,0,7,3,1,0,2005-s4
P0027,P0135,1,1,0,0,7,3,1,0,2005-s4
P0027,P0116,1,1,0,0,6,4,1,0,2005-s4
P0027,P0102,1,0,1,0,0,10,1,0,2005-s4
P0027,P0063,1,1,0,0,6,4,1,0,2005-s4
P0027,P0147,1,1,0,0,10,0,1,0,2005-s4
P0116,P0135,1,0,1,0,0,10,1,0,2005-s4
P0102,P0135,1,0,1,0,0,10,1,0,2005-s4
P0063,P0135,1,0,1,0,0,10,1,0,2005-s4
P0135,P0147,1,1,0,0,6,4,1,0,2005-s4
P0099,P0135,1,0,1,0,3,7,1,0,2005-s4
P0102,P0116,1,0,1,0,0,10,1,0,2005-s4
P0063,P0116,1,1,0,0,10,0,1,0,2005-s4
P0099,P0116,1,1,0,0,10,0,1,0,2005-s4
P0063,P0102,1,1,0,0,10,0,1,0,2005-s4
P0102,P0147,1,0,1,0,0,10,1,0,2005-s4
P0063,P0147,1,1,0,0,6,4,1,0,2005-s4
P0063,P0099,1,1,0,0,6,4,1,0,2005-s4
P0099,P0147,1,0,1,0,4,6,1,0,2005-s4
P0062,P0126,1,0,0,1,5,5,1,0,2005-s4
P0062,P0089,1,1,0,0,6,4,1,0,2005-s4
P0033,P0062,1,1,0,0,6,4,1,0,2005-s4
P0062,P0106,1,1,0,0,10,0,1,0,2005-s4
P0054,P0126,1,0,0,1,5,5,1,0,2005-s4
P0054,P0089,1,1,0,0,6,4,1,0,2005-s4
P0033,P0054,1,0,1,0,3,7,1,0,2005-s4
P0054,P0106,1,1,0,0,6,4,1,0,2005-s4
P0077,P0126,1,1,0,0,9,1,1,0,2005-s4
P0089,P0126,1,1,0,0,8,2,1,0,2005-s4
P0033,P0126,1,1,0,0,9,1,1,0,2005-s4
P0106,P0126,1,0,1,0,3,7,1,0,2005-s4
P0077,P0089,1,0,1,0,3,7,1,0,2005-s4
P0033,P0077,1,0,1,0,3,7,1,0,2005-s4
P0077,P0106,1,1,0,0,8,2,1,0,2005-s4
P0033,P0089,1,1,0,0,7,3,1,0,2005-s4
P0089,P0106,1,0,1,0,4,6,1,0,2005-s4
P0033,P0106,1,1,0,0,7,3,1,0,2005-s4
P0114,P0133,1,0,1,0,4,6,1,0,2005-s4
P0133,P0140,1,0,1,0,3,7,1,0,2005-s4
P0133,P0138,1,0,1,0,0,10,1,0,2005-s4
P0088,P0133,1,0,1,0,4,6,1,0,2005-s4
P0119,P0133,1,0,0,1,5,5,1,0,2005-s4
P0075,P0133,1,0,1,0,2,8,1,0,2005-s4
